"Environment Canada"
"Monthly Values for September - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"FANNY ISLAND","50.454","-125.993","BC","12.5","0",NA,"19.0","0","7.1","0","",,NA,"178.6","0",NA,"","15","",,NA,"166.0","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","13.8","0",NA,"22.0","0","6.0","0","0.0","0",NA,"112.2","0",NA,"0.0","14","","",NA,"125.3","0.0","1023462"
"NANAIMO A","49.054","-123.870","BC","13.8","12",NA,"22.0","12","3.5","12","0.0","15",NA,"29.9","15",NA,"","7","","",NA,"75.7","0.0","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"52.1","0","141.0","0.0","11","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","11.6","0",NA,"18.9","0","1.4","0","0.0","0",NA,"149.8","0",NA,"","16","",,NA,"192.1","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","13.6","0",NA,"23.4","0","2.6","0","",,NA,"43.7","0",NA,"","9","",,NA,"131.8","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","13.5","1","0.0","21.0","1","3.5","1","0.0","1",NA,"48.4","1",NA,"0.0","11","","",NA,"129.1","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","13.9","3","-0.3","24.5","3","2.0","3","0.0","3",NA,"103.2","3",NA,"0.0","13","","",NA,"111.5","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","15.1","1",NA,"20.8","1","10.8","0","",,NA,"",,NA,"","","",,NA,"85.2","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","15.1","2",NA,"19.5","2","11.0","2","0.0","2",NA,"43.6","2",NA,"","10","","",NA,"82.1","0.0","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","13.4","1","0.1","20.5","1","6.5","1","0.0","1",NA,"84.7","1",NA,"0.0","10","","",NA,"134.2","0.0","1031316"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.0","0",NA,"109.8","0","99.0","0.0","12","","",NA,"","","1031402"
"ESTEVAN POINT","49.383","-126.543","BC","13.3","0","-0.1","18.5","0","7.5","0","0.0","0",NA,"142.0","0","106.0","0.0","14","","",NA,"140.9","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","12.8","2",NA,"18.1","2","7.1","0","",,NA,"125.7","2",NA,"","12","",,NA,"144.9","0.0","1032731"
"GOLD RIVER TOWNSITE","49.779","-126.055","BC","14.4","9","-0.4","24.0","9","2.0","9","0.0","9",NA,"88.0","9",NA,"0.0","9","","",NA,"75.8","1.0","1033232"
"LENNARD ISLAND","49.111","-125.923","BC","12.9","0",NA,"19.0","0","7.5","0","0.0","0",NA,"112.2","0","89.0","0.0","10","","",NA,"154.4","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","14.1","0","-0.5","26.0","0","1.0","0","0.0","3",NA,"145.2","1",NA,"0.0","13","","",NA,"118.1","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","14.4","1","-0.3","22.0","1","8.5","1","0.0","1",NA,"114.6","1",NA,"0.0","12","","",NA,"104.6","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","13.1","0","0.1","22.0","0","4.0","0","0.0","0",NA,"101.2","0","86.0","0.0","11","","",NA,"147.4","0.0","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","16.0","24","0.9","23.5","24","8.0","24","0.0","24",NA,"3.4","24",NA,"","1","","",NA,"11.9","0.0","1036208"
"QUATSINO","50.534","-127.653","BC","13.0","4","-0.8","22.0","4","6.0","4","0.0","4",NA,"124.6","4",NA,"0.0","13","","",NA,"130.5","0.0","1036570"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","14.1","0",NA,"27.5","0","1.7","0","",,NA,"82.4","0",NA,"","12","",,NA,"118.3","0.3","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","12.5","3",NA,"16.0","3","8.8","0","",,NA,"107.6","3",NA,"","13","",,NA,"149.2","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","12.6","3",NA,"16.1","3","9.2","0","",,NA,"137.8","3",NA,"","13","",,NA,"146.1","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","13.4","17",NA,"25.0","17","3.0","17","",,NA,"118.6","24",NA,"","6","","",NA,"59.7","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","12.8","0","-0.6","22.5","0","3.0","0","0.0","0",NA,"115.8","0","87.0","0.0","10","","",NA,"156.5","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","13.2","0","-0.5","23.0","0","3.0","0","0.0","0",NA,"129.8","0","93.0","0.0","12","","",NA,"144.5","0.0","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","13.9","0",NA,"26.5","0","4.0","0","0.0","0",NA,"208.2","0",NA,"0.0","16","","",NA,"122.0","0.0","1039035"
"GIBSONS GOWER POINT","49.386","-123.541","BC","14.4","0","-0.8","21.0","0","7.5","0","0.0","0",NA,"126.6","0","218.0","0.0","12","","",NA,"108.6","0.0","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","15.1","0","-0.1","21.5","0","7.5","0","0.0","0",NA,"90.4","0","185.0","0.0","9","","",NA,"85.6","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","15.4","0",NA,"22.1","0","9.7","0","",,NA,"80.0","0",NA,"","10","",,NA,"78.7","0.4","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"88.5","0",NA,"0.0","11","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","14.4","0",NA,"23.7","0","6.8","0","",,NA,"117.5","0",NA,"","11","",,NA,"107.3","0.0","1046332"
"POWELL RIVER A","49.834","-124.500","BC","13.3","0","-0.7","22.0","0","2.5","0","0.0","0",NA,"77.0","0","141.0","0.0","14","","",NA,"139.9","0.0","1046391"
"POWELL RIVER","49.835","-124.497","BC","13.0","1",NA,"21.2","1","3.2","0","",,NA,"54.7","1",NA,"","9","",,NA,"145.1","0.0","1046392"
"SECHELT AUT","49.458","-123.715","BC","13.7","0",NA,"22.8","0","3.9","0","",,NA,"85.6","0",NA,"","10","",,NA,"128.8","0.0","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","14.5","0",NA,"27.0","0","3.6","0","",,NA,"58.6","0",NA,"","7","",,NA,"104.6","0.2","10476F0"
"WHISTLER","50.129","-122.955","BC","11.7","2","-1.0","25.0","2","0.5","2","0.0","2",NA,"28.0","2",NA,"0.0","8","","",NA,"176.2","0.0","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","13.6","2",NA,"17.9","2","9.3","0","",,NA,"",,NA,"","","",,NA,"123.7","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","13.6","2",NA,"16.6","2","9.1","0","",,NA,"170.2","2",NA,"","19","",,NA,"123.4","0.0","1054222"
"LANGARA","54.255","-133.058","BC","12.8","0","0.5","16.5","0","7.5","0","0.0","0","0.0","163.6","0","86.0","0.0","18","",,NA,"157.4","0.0","1054500"
"LANGARA ISLAND RCS","54.255","-133.058","BC","12.5","0",NA,"16.0","0","7.7","0","",,NA,"161.1","0",NA,"","15","",,NA,"164.1","0.0","1054503"
"ROSE SPIT (AUT)","54.159","-131.661","BC","13.0","0",NA,"18.5","0","6.6","0","",,NA,"187.9","0",NA,"","16","",,NA,"151.3","0.0","1056869"
"SANDSPIT A","53.254","-131.813","BC","14.0","0","0.8","20.5","0","5.5","0","0.0","0",NA,"89.0","0","107.0","0.0","16","","",NA,"119.8","0.0","1057050"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","13.7","0",NA,"20.4","0","5.6","0","",,NA,"90.4","0",NA,"","13","",,NA,"127.6","0.0","1057051"
"SANDSPIT","53.254","-131.814","BC","13.9","12",NA,"20.3","12","6.0","12","",,NA,"62.4","12",NA,"","7","",,NA,"74.5","0.0","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","13.5","1","0.5","22.0","1","7.5","1","0.0","1",NA,"314.8","1",NA,"0.0","18","","",NA,"129.8","0.0","1060080"
"BELLA BELLA","52.185","-128.157","BC","12.7","2",NA,"22.1","2","5.3","2","",,NA,"302.2","2",NA,"","16","",,NA,"147.4","0.0","1060815"
"BELLA COOLA A","52.388","-126.596","BC","13.1","0","-0.3","23.0","0","0.5","0","0.0","0",NA,"118.2","0","131.0","0.0","16","","",NA,"147.7","0.0","1060841"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","13.0","0",NA,"22.7","0","0.1","0","",,NA,"119.0","0",NA,"","14","",,NA,"151.1","0.0","1060844"
"BOAT BLUFF","52.643","-128.524","BC","13.8","0","1.0","22.5","0","8.5","0","0.0","0",NA,"391.7","0","107.0","0.0","16","","",NA,"124.6","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","12.9","0","0.2","17.0","0","7.0","0","0.0","0",NA,"208.2","0","126.0","0.0","14","","",NA,"152.8","0.0","1060902"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","13.4","15",NA,"16.2","15","10.6","13","",,NA,"58.8","16",NA,"","6","",,NA,"69.2","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","14.0","3",NA,"21.2","3","8.6","0","",,NA,"279.2","3",NA,"","14","",,NA,"109.0","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","14.0","2",NA,"20.0","2","8.2","0","",,NA,"71.0","3",NA,"","11","",,NA,"113.0","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","13.9","0","0.4","21.0","0","7.0","0","0.0","0",NA,"244.8","0","118.0","0.0","18","","",NA,"122.2","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","12.1","0","-0.1","17.0","0","6.0","0","0.0","0",NA,"208.8","0","134.0","0.0","15","","",NA,"178.2","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","12.5","2","0.2","18.5","2","7.5","2","0.0","2",NA,"188.8","2",NA,"0.0","15","","",NA,"153.8","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","12.7","0",NA,"17.4","0","8.4","0","",,NA,"148.6","0",NA,"","17","",,NA,"160.4","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.632","BC","11.9","0",NA,"16.3","0","7.1","0","",,NA,"150.4","0",NA,"","14","",,NA,"183.6","0.0","1063461"
"HOLLAND ROCK","54.172","-130.361","BC","12.3","0",NA,"17.2","0","7.7","0","",,NA,"146.8","0",NA,"","15","",,NA,"172.4","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","13.2","0","0.0","18.0","0","7.0","0","0.0","0",NA,"229.4","0","107.0","0.0","16","","",NA,"144.0","0.0","1063690"
"KITIMAT TOWNSITE","54.054","-128.634","BC","13.1","0","0.6","25.0","0","0.0","0","0.0","0",NA,"210.0","0","110.0","0.0","18","","",NA,"147.2","0.8","1064320"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","12.4","0",NA,"16.5","0","7.5","0","",,NA,"",,NA,"","","",,NA,"169.5","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","13.3","2","0.1","19.5","2","7.0","2","0.0","2",NA,"199.0","2",NA,"0.0","13","",,NA,"132.8","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","12.9","12",NA,"16.8","12","6.5","12","",,NA,"233.0","12",NA,"","14","",,NA,"91.2","0.0","1066482"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"0.0","11",NA,"330.4","11",NA,"0.0","12","","",NA,"","","1066488"
"TERRACE PCC","54.502","-128.625","BC","13.6","0","1.0","23.5","0","2.5","0","0.0","0",NA,"94.6","0","90.0","0.0","11","","",NA,"132.3","0.0","1068131"
"TERRACE A","54.469","-128.578","BC","12.6","2",NA,"21.7","0","1.1","2","0.0","0",NA,"110.3","0",NA,"","11","",,NA,"151.8","0.0","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","12.6","0",NA,"17.0","0","8.5","0","0.0","0",NA,"122.6","0",NA,"0.0","15","","",NA,"161.4","0.0","1068250"
"KITIMAT HATCHERY","54.044","-128.682","BC","13.7","13",NA,"23.0","13","4.0","13","0.0","13",NA,"65.3","13",NA,"","7","","",NA,"73.1","0.0","106D289"
"EQUITY SILVER","54.199","-126.277","BC","6.9","0","-0.4","20.5","0","-3.0","0","0.0","0","0.0","68.8","0","122.0","0.0","9","","",NA,"334.5","0.0","1072692"
"HOUSTON","54.396","-126.668","BC","10.2","9",NA,"25.0","9","-1.5","9","0.0","14",NA,"30.7","14",NA,"","7","","",NA,"162.9","0.0","1073615"
"SMITHERS","54.825","-127.183","BC","10.1","9",NA,"22.5","9","-1.9","9","",,NA,"49.5","9",NA,"","10","",,NA,"165.0","0.0","1077499"
"SMITHERS A","54.825","-127.183","BC","10.4","0","0.5","22.5","0","-1.0","0","0.0","0",NA,"66.0","0","123.0","0.0","16","","",NA,"227.7","0.0","1077500"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","10.3","0",NA,"22.3","0","-1.1","0","",,NA,"51.2","0",NA,"","13","",,NA,"230.6","0.0","1077501"
"SUSKWA VALLEY","55.289","-127.171","BC","8.2","2","-1.4","19.0","2","-4.5","2","0.0","2",NA,"84.2","2",NA,"0.0","17","","",NA,"274.1","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","10.3","1",NA,"23.5","1","-1.3","0","",,NA,"34.2","1",NA,"","8","",,NA,"224.1","0.0","1085836"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","14.3","0",NA,"28.1","0","0.8","0","",,NA,"62.7","0",NA,"","10","",,NA,"112.2","0.0","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","9.1","0",NA,"25.9","0","-5.7","0","",,NA,"69.2","0",NA,"","23","",,NA,"266.5","0.0","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","9.5","0",NA,"26.4","0","-7.4","0","",,NA,"25.9","0",NA,"","5","",,NA,"255.1","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","8.4","0",NA,"24.6","0","-5.7","0","",,NA,"36.4","0",NA,"","6","",,NA,"287.0","0.0","1091174"
"FORT ST JAMES","54.455","-124.286","BC","9.6","15","-0.6","21.0","15","-1.5","15","0.0","15",NA,"15.6","15",NA,"","4","","",NA,"125.6","0.0","1092970"
"FORT ST JAMES AUTO","54.455","-124.286","BC","10.2","1",NA,"22.9","1","-1.4","0","",,NA,"35.3","1",NA,"","9","",,NA,"226.8","0.0","1092975"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","9.7","20",NA,"22.0","15","-1.5","14","0.0","15",NA,"75.3","15",NA,"","8","","",NA,"82.7","0.0","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","9.0","8",NA,"22.4","8","-4.7","8","",,NA,"46.3","8",NA,"","8","",,NA,"199.1","0.0","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","9.2","0",NA,"22.5","0","-4.9","0","",,NA,"55.5","0",NA,"","12","",,NA,"264.2","0.0","1096453"
"PRINCE GEORGE STP","53.880","-122.768","BC","11.2","6","0.0","23.5","6","-1.5","6","0.0","6",NA,"79.2","6",NA,"0.0","13","","",NA,"164.0","0.0","1096468"
"QUESNEL","53.026","-122.510","BC","10.7","9",NA,"24.0","9","-1.8","8","",,NA,"48.8","9",NA,"","10","",,NA,"154.1","0.0","1096629"
"QUESNEL AIRPORT AUTO","53.027","-122.506","BC","10.8","0",NA,"24.1","0","-2.2","0","",,NA,"64.5","0",NA,"","13","",,NA,"215.6","0.0","1096631"
"SPOKIN LAKE 4E","52.184","-121.686","BC","7.6","0","-0.8","22.5","0","-6.5","0","0.0","0","0.0","69.2","0","150.0","0.0","15","","",NA,"311.0","0.0","1097646"
"WILLIAMS LAKE A","52.183","-122.054","BC","9.2","0",NA,"22.4","0","-2.7","0","0.0","0",NA,"66.6","0",NA,"","14","",,NA,"263.5","0.0","1098941"
"VANDERHOOF","54.033","-124.017","BC","10.5","1","-0.5","25.5","1","-3.0","1","0.0","1",NA,"40.0","1",NA,"0.0","11","","",NA,"216.9","0.0","1098D90"
"108 MILE HOUSE ABEL LAKE","51.623","-121.263","BC","9.7","4",NA,"23.5","4","-3.5","4","0.0","4",NA,"44.6","4",NA,"0.0","11","","",NA,"216.5","0.0","109E7R6"
"ABBOTSFORD A","49.025","-122.360","BC","15.2","1",NA,"26.3","0","4.3","1","0.0","0",NA,"69.5","0",NA,"","9","",,NA,"82.2","1.1","1100031"
"AGASSIZ RCS","49.243","-121.760","BC","15.6","0","-0.7","26.2","0","3.6","0","",,NA,"100.2","0",NA,"","10","",,NA,"72.4","1.3","1100119"
"AGASSIZ CDA","49.243","-121.760","BC","16.2","7","0.4","27.0","7","4.0","0","0.0","0",NA,"77.2","0","88.0","0.0","12","","",NA,"43.7","2.8","1100120"
"WHISTLER - NESTERS","50.129","-122.955","BC","11.8","0",NA,"26.6","0","0.5","0","",,NA,"47.4","0",NA,"","9","",,NA,"186.5","0.0","1100875"
"BLACKCOMB BASE SLIDING CENTER","50.102","-122.936","BC","10.7","0",NA,"24.5","0","3.3","0","",,NA,"48.8","0",NA,"","10","",,NA,"218.8","0.0","1100881"
"BURNABY SIMON FRASER U","49.278","-122.918","BC","12.8","21","-1.8","18.0","21","7.0","21","0.0","21",NA,"32.6","21",NA,"0.0","4","","",NA,"47.0","0.0","1101158"
"CALLAGHAN VALLEY","50.144","-123.111","BC","10.6","0",NA,"24.8","0","1.6","0","",,NA,"61.1","0",NA,"","11","",,NA,"223.3","0.0","1101300"
"CLOVERDALE EAST","49.109","-122.698","BC","15.9","4",NA,"26.5","4","5.0","4","0.0","4",NA,"61.1","4",NA,"0.0","9","","",NA,"55.8","1.3","1101708"
"DELTA BURNS BOG","49.126","-123.002","BC","13.9","0",NA,"24.2","0","0.1","0","",,NA,"59.5","0",NA,"","8","",,NA,"123.0","0.0","1102415"
"DELTA TSAWWASSEN BEACH","49.011","-123.093","BC","13.9","0","-1.4","20.5","0","5.5","0","0.0","0",NA,"55.2","0","139.0","0.0","10","","",NA,"123.1","0.0","1102425"
"FORT LANGLEY TELEGRAPH TRAIL","49.145","-122.551","BC","14.9","8",NA,"26.0","8","4.5","8","0.0","8",NA,"61.8","8",NA,"0.0","7","","",NA,"68.8","0.5","1102912"
"HANEY UBC RF ADMIN","49.264","-122.573","BC","14.9","0","0.0","30.5","0","5.0","0","0.0","0",NA,"123.1","0","124.0","0.0","14","","",NA,"95.7","1.3","1103332"
"MISSION WEST ABBEY","49.153","-122.271","BC","15.3","0","-0.3","25.0","0","7.0","0","0.0","0",NA,"99.8","0","112.0","0.0","9","","",NA,"82.2","1.6","1105192"
"RICHMOND OPERATIONS CENTRE","49.182","-123.078","BC","",,NA,"",,"",,"",,NA,"63.3","1",NA,"","9","",,NA,"","","1105210"
"N VANC GROUSE MTN RESORT","49.381","-123.078","BC","10.4","15","-1.0","20.0","15","2.5","15","0.0","15",NA,"119.4","15",NA,"","9","","",NA,"113.9","0.0","1105658"
"N VANCOUVER WHARVES","49.315","-123.115","BC","",,NA,"",,"",,"0.0","3",NA,"76.0","3",NA,"0.0","9","","",NA,"","","1105669"
